Time of Day,Activity,Age,Heart Rate,Weather,Day of Week,Recent Events,Battery Status,Sleep Score,Daily Activity,Sleep,Running,Swimming,Calories Burn,Heart Rate (show),Steps,Consumed,Weather (show),Chance of Rain,Events,Battery
Noon,Running,80,188,Clear,Holiday,NO,18,27,1,1,1,0,1,1,1,0,0,0,0,1
Noon,Running,18,112,Clear,Holiday,NO,23,83,1,0,1,0,1,1,1,0,0,0,0,0
Night,Walking,15,124,Clear,Holiday,YES,54,76,1,0,0,0,1,1,1,0,0,0,1,0
Night,Walking,38,61,Rainy,Weekday,YES,30,20,1,1,0,0,1,0,1,0,1,1,1,0
Noon,Driving,67,95,Clear,Weekday,NO,98,65,1,0,0,0,0,0,0,0,0,0,0,0
Morning,Driving,26,145,Rainy,Weekday,YES,58,85,1,0,0,0,0,1,0,0,1,1,1,0
Morning,Resting,25,167,Rainy,Weekday,NO,68,49,0,1,0,0,0,1,0,0,1,1,0,0
Noon,Resting,96,159,Rainy,Holiday,NO,67,1,0,1,0,0,0,1,0,1,1,1,0,0
Morning,Swimming,12,89,Cold,Weekday,YES,71,10,1,1,0,1,1,0,0,0,1,0,1,0
Noon,Driving,30,46,Clear,Holiday,NO,18,47,1,1,0,0,0,1,0,0,0,0,0,1
Morning,Running,73,125,Clear,Holiday,NO,7,59,1,1,1,0,1,1,1,0,0,0,0,1
Morning,Driving,99,173,Rainy,Holiday,YES,40,96,1,0,0,0,0,1,0,0,1,1,1,0
Night,Running,45,45,Rainy,Weekday,YES,70,62,1,0,1,0,1,1,1,0,1,1,1,0
Night,Walking,95,75,Clear,Holiday,NO,86,86,1,0,0,0,1,0,1,0,0,0,0,0
Morning,Driving,71,196,Rainy,Weekday,YES,65,18,1,1,0,0,0,1,0,0,1,1,1,0
Morning,Walking,51,188,Clear,Weekday,YES,68,46,1,1,0,0,1,1,1,0,0,0,1,0
Night,Resting,85,136,Cold,Holiday,NO,49,32,0,1,0,0,0,1,0,1,1,0,0,0
Night,Resting,51,117,Rainy,Holiday,YES,52,27,0,1,0,0,0,1,0,1,1,1,1,0
Night,Swimming,70,158,Clear,Holiday,YES,29,92,1,0,0,1,1,1,0,0,0,0,1,0
Noon,Driving,22,168,Rainy,Weekday,NO,21,18,1,1,0,0,0,1,0,0,1,1,0,0
Morning,Walking,20,148,Clear,Holiday,YES,90,39,1,1,0,0,1,1,1,0,0,0,1,0
Night,Running,63,114,Clear,Weekday,YES,78,49,1,1,1,0,1,1,1,0,0,0,1,0
Morning,Resting,25,33,Rainy,Holiday,NO,9,93,0,0,0,0,0,1,0,0,1,1,0,1
Noon,Resting,17,100,Cold,Holiday,NO,47,82,0,0,0,0,0,0,0,1,1,0,0,0
Noon,Running,68,183,Clear,Weekday,NO,76,44,1,1,1,0,1,1,1,0,0,0,0,0
Night,Walking,66,140,Clear,Weekday,YES,42,72,1,0,0,0,1,1,1,0,0,0,1,0
Noon,Walking,49,79,Clear,Weekday,NO,51,54,1,1,0,0,1,0,1,0,0,0,0,0
Morning,Driving,68,169,Cold,Weekday,NO,56,95,1,0,0,0,0,1,0,0,1,0,0,0
Night,Driving,11,124,Cold,Weekday,YES,51,34,1,1,0,0,0,1,0,0,1,0,1,0
Morning,Swimming,85,121,Rainy,Weekday,NO,70,71,1,0,0,1,1,1,0,0,1,1,0,0
Morning,Resting,19,94,Cold,Holiday,NO,20,36,0,1,0,0,0,0,0,0,1,0,0,0
Noon,Driving,53,76,Rainy,Holiday,NO,88,18,1,1,0,0,0,0,0,0,1,1,0,0
Noon,Walking,20,135,Rainy,Weekday,NO,27,38,1,1,0,0,1,1,1,0,1,1,0,0
Noon,Running,88,159,Cold,Holiday,YES,38,59,1,1,1,0,1,1,1,0,1,0,1,0
Noon,Walking,89,135,Rainy,Weekday,NO,72,9,1,1,0,0,1,1,1,0,1,1,0,0
Noon,Resting,90,53,Cold,Holiday,NO,65,73,0,0,0,0,0,1,0,1,1,0,0,0
Night,Walking,99,33,Rainy,Holiday,YES,54,72,1,0,0,0,1,1,1,0,1,1,1,0
Morning,Swimming,11,137,Cold,Weekday,NO,24,51,1,1,0,1,1,1,0,0,1,0,0,0
Morning,Resting,59,48,Cold,Weekday,YES,47,35,0,1,0,0,0,1,0,0,1,0,1,0
Morning,Running,21,183,Rainy,Weekday,YES,71,82,1,0,1,0,1,1,1,0,1,1,1,0
Morning,Swimming,99,69,Clear,Holiday,YES,83,5,1,1,0,1,1,0,0,0,0,0,1,0
Noon,Resting,32,79,Rainy,Weekday,NO,86,14,0,1,0,0,0,0,0,1,1,1,0,0
Morning,Running,27,200,Cold,Holiday,YES,63,92,1,0,1,0,1,1,1,0,1,0,1,0
Night,Swimming,71,104,Clear,Weekday,YES,57,30,1,1,0,1,1,1,0,0,0,0,1,0
Night,Swimming,71,41,Rainy,Holiday,YES,55,4,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Resting,47,56,Rainy,Holiday,NO,60,39,0,1,0,0,0,1,0,0,1,1,0,0
Morning,Driving,76,142,Rainy,Weekday,NO,99,84,1,0,0,0,0,1,0,0,1,1,0,0
Night,Swimming,47,78,Clear,Holiday,NO,62,64,1,0,0,1,1,0,0,0,0,0,0,0
Night,Swimming,76,173,Cold,Holiday,NO,30,25,1,1,0,1,1,1,0,0,1,0,0,0
Noon,Running,70,159,Rainy,Weekday,NO,93,28,1,1,1,0,1,1,1,0,1,1,0,0
Night,Walking,10,89,Rainy,Holiday,NO,22,76,1,0,0,0,1,0,1,0,1,1,0,0
Noon,Resting,54,59,Rainy,Weekday,NO,75,66,0,0,0,0,0,1,0,1,1,1,0,0
Noon,Resting,37,113,Rainy,Weekday,YES,84,78,0,0,0,0,0,1,0,1,1,1,1,0
Noon,Driving,30,195,Rainy,Weekday,YES,29,22,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Driving,22,57,Cold,Weekday,YES,41,31,1,1,0,0,0,1,0,0,1,0,1,0
Noon,Resting,36,54,Cold,Holiday,YES,42,23,0,1,0,0,0,1,0,1,1,0,1,0
Morning,Driving,16,125,Rainy,Holiday,NO,98,48,1,1,0,0,0,1,0,0,1,1,0,0
Night,Running,31,154,Clear,Holiday,YES,65,20,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Resting,83,39,Cold,Weekday,YES,31,38,0,1,0,0,0,1,0,1,1,0,1,0
Night,Driving,62,71,Clear,Holiday,YES,30,55,1,1,0,0,0,0,0,0,0,0,1,0
Night,Resting,88,69,Cold,Holiday,YES,18,68,0,0,0,0,0,0,0,1,1,0,1,1
Noon,Walking,88,106,Rainy,Weekday,NO,17,79,1,0,0,0,1,1,1,0,1,1,0,1
Morning,Swimming,13,134,Cold,Weekday,NO,38,88,1,0,0,1,1,1,0,0,1,0,0,0
Noon,Resting,32,147,Rainy,Holiday,NO,14,89,0,0,0,0,0,1,0,1,1,1,0,1
Morning,Swimming,79,71,Cold,Weekday,YES,87,1,1,1,0,1,1,0,0,0,1,0,1,0
Night,Driving,97,76,Rainy,Weekday,NO,89,7,1,1,0,0,0,0,0,0,1,1,0,0
Morning,Swimming,93,194,Rainy,Weekday,YES,79,57,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Resting,93,51,Rainy,Weekday,NO,56,95,0,0,0,0,0,1,0,0,1,1,0,0
Morning,Walking,85,136,Rainy,Holiday,NO,22,12,1,1,0,0,1,1,1,0,1,1,0,0
Night,Driving,42,56,Clear,Weekday,NO,67,5,1,1,0,0,0,1,0,0,0,0,0,0
Night,Resting,37,70,Rainy,Weekday,NO,56,50,0,1,0,0,0,0,0,1,1,1,0,0
Morning,Driving,17,109,Clear,Weekday,NO,19,42,1,1,0,0,0,1,0,0,0,0,0,1
Morning,Running,10,191,Clear,Weekday,YES,57,12,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Swimming,46,189,Rainy,Weekday,NO,44,18,1,1,0,1,1,1,0,0,1,1,0,0
Morning,Running,72,118,Clear,Weekday,YES,98,66,1,0,1,0,1,1,1,0,0,0,1,0
Noon,Resting,31,95,Cold,Weekday,YES,35,74,0,0,0,0,0,0,0,1,1,0,1,0
Morning,Walking,79,41,Rainy,Weekday,YES,1,79,1,0,0,0,1,1,1,0,1,1,1,1
Noon,Driving,30,197,Clear,Holiday,YES,52,94,1,0,0,0,0,1,0,0,0,0,1,0
Night,Swimming,44,102,Rainy,Weekday,YES,85,17,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Driving,88,105,Rainy,Holiday,NO,93,68,1,0,0,0,0,1,0,0,1,1,0,0
Morning,Resting,14,119,Rainy,Weekday,NO,70,71,0,0,0,0,0,1,0,0,1,1,0,0
Morning,Driving,69,39,Clear,Weekday,NO,37,62,1,0,0,0,0,1,0,0,0,0,0,0
Morning,Swimming,55,125,Cold,Weekday,NO,65,41,1,1,0,1,1,1,0,0,1,0,0,0
Noon,Resting,59,49,Cold,Weekday,YES,51,95,0,0,0,0,0,1,0,1,1,0,1,0
Morning,Driving,57,68,Clear,Holiday,NO,1,34,1,1,0,0,0,0,0,0,0,0,0,1
Night,Walking,15,89,Rainy,Weekday,NO,91,70,1,0,0,0,1,0,1,0,1,1,0,0
Night,Resting,98,95,Clear,Weekday,YES,21,45,0,1,0,0,0,0,0,1,0,0,1,0
Morning,Resting,65,94,Clear,Holiday,YES,53,58,0,1,0,0,0,0,0,0,0,0,1,0
Night,Walking,68,153,Clear,Holiday,NO,16,51,1,1,0,0,1,1,1,0,0,0,0,1
Morning,Running,38,193,Rainy,Weekday,NO,61,34,1,1,1,0,1,1,1,0,1,1,0,0
Morning,Swimming,80,181,Clear,Holiday,YES,54,44,1,1,0,1,1,1,0,0,0,0,1,0
Night,Running,86,184,Rainy,Holiday,NO,40,15,1,1,1,0,1,1,1,0,1,1,0,0
Morning,Driving,27,159,Clear,Holiday,NO,26,78,1,0,0,0,0,1,0,0,0,0,0,0
Night,Walking,11,188,Cold,Weekday,NO,80,70,1,0,0,0,1,1,1,0,1,0,0,0
Noon,Running,17,86,Clear,Weekday,NO,92,50,1,1,1,0,1,0,1,0,0,0,0,0
Morning,Resting,84,107,Clear,Weekday,YES,65,32,0,1,0,0,0,1,0,0,0,0,1,0
Noon,Driving,63,58,Cold,Holiday,YES,100,67,1,0,0,0,0,1,0,0,1,0,1,0
Night,Driving,47,44,Rainy,Weekday,YES,74,3,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Running,57,41,Rainy,Holiday,NO,64,86,1,0,1,0,1,1,1,0,1,1,0,0
Noon,Running,36,130,Clear,Weekday,NO,43,86,1,0,1,0,1,1,1,0,0,0,0,0
Night,Walking,29,185,Cold,Weekday,NO,17,74,1,0,0,0,1,1,1,0,1,0,0,1
Noon,Swimming,21,113,Rainy,Holiday,NO,59,51,1,1,0,1,1,1,0,0,1,1,0,0
Noon,Running,52,154,Clear,Weekday,NO,23,67,1,0,1,0,1,1,1,0,0,0,0,0
Night,Running,70,132,Cold,Holiday,YES,7,76,1,0,1,0,1,1,1,0,1,0,1,1
Noon,Resting,40,53,Rainy,Holiday,NO,44,93,0,0,0,0,0,1,0,1,1,1,0,0
Night,Driving,100,178,Rainy,Weekday,NO,53,48,1,1,0,0,0,1,0,0,1,1,0,0
Noon,Swimming,70,167,Cold,Holiday,YES,71,17,1,1,0,1,1,1,0,0,1,0,1,0
Night,Resting,83,139,Cold,Weekday,NO,79,7,0,1,0,0,0,1,0,1,1,0,0,0
Night,Walking,76,107,Cold,Weekday,YES,34,13,1,1,0,0,1,1,1,0,1,0,1,0
Noon,Walking,100,130,Cold,Holiday,YES,46,66,1,0,0,0,1,1,1,0,1,0,1,0
Noon,Running,44,175,Clear,Weekday,YES,68,4,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Running,24,171,Cold,Holiday,YES,78,10,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Walking,25,191,Rainy,Weekday,YES,78,88,1,0,0,0,1,1,1,0,1,1,1,0
Morning,Running,22,157,Rainy,Weekday,NO,16,17,1,1,1,0,1,1,1,0,1,1,0,1
Morning,Swimming,44,87,Clear,Weekday,YES,71,52,1,1,0,1,1,0,0,0,0,0,1,0
Night,Running,84,105,Rainy,Weekday,YES,96,6,1,1,1,0,1,1,1,0,1,1,1,0
Noon,Driving,68,179,Rainy,Weekday,NO,19,83,1,0,0,0,0,1,0,0,1,1,0,1
Night,Running,30,65,Cold,Holiday,NO,2,69,1,0,1,0,1,0,1,0,1,0,0,1
Morning,Resting,63,193,Rainy,Holiday,YES,10,96,0,0,0,0,0,1,0,0,1,1,1,1
Noon,Swimming,84,51,Clear,Holiday,NO,50,74,1,0,0,1,1,1,0,0,0,0,0,0
Night,Resting,39,156,Cold,Holiday,NO,81,9,0,1,0,0,0,1,0,1,1,0,0,0
Noon,Resting,57,109,Cold,Holiday,YES,12,91,0,0,0,0,0,1,0,1,1,0,1,1
Night,Driving,44,129,Clear,Holiday,YES,70,77,1,0,0,0,0,1,0,0,0,0,1,0
Noon,Swimming,95,125,Cold,Weekday,NO,22,83,1,0,0,1,1,1,0,0,1,0,0,0
Morning,Swimming,47,190,Cold,Weekday,YES,32,21,1,1,0,1,1,1,0,0,1,0,1,0
Morning,Swimming,40,193,Clear,Holiday,YES,84,24,1,1,0,1,1,1,0,0,0,0,1,0
Noon,Swimming,87,177,Cold,Holiday,NO,1,4,1,1,0,1,1,1,0,0,1,0,0,1
Night,Swimming,33,47,Clear,Weekday,YES,54,24,1,1,0,1,1,1,0,0,0,0,1,0
Morning,Driving,58,67,Clear,Weekday,YES,58,59,1,1,0,0,0,0,0,0,0,0,1,0
Morning,Running,41,180,Rainy,Weekday,YES,70,99,1,0,1,0,1,1,1,0,1,1,1,0
Morning,Resting,64,138,Rainy,Holiday,YES,83,3,0,1,0,0,0,1,0,0,1,1,1,0
Noon,Swimming,88,152,Cold,Holiday,YES,18,68,1,0,0,1,1,1,0,0,1,0,1,1
Noon,Running,67,173,Cold,Holiday,NO,6,40,1,1,1,0,1,1,1,0,1,0,0,1
Night,Running,12,178,Clear,Weekday,NO,45,48,1,1,1,0,1,1,1,0,0,0,0,0
Night,Resting,89,133,Cold,Weekday,YES,97,54,0,1,0,0,0,1,0,1,1,0,1,0
Night,Driving,78,169,Clear,Holiday,NO,23,35,1,1,0,0,0,1,0,0,0,0,0,0
Noon,Walking,94,173,Clear,Holiday,YES,23,95,1,0,0,0,1,1,1,0,0,0,1,0
Noon,Walking,19,110,Cold,Weekday,YES,26,56,1,1,0,0,1,1,1,0,1,0,1,0
Night,Running,92,116,Clear,Weekday,YES,77,89,1,0,1,0,1,1,1,0,0,0,1,0
Night,Resting,34,171,Rainy,Weekday,YES,7,40,0,1,0,0,0,1,0,1,1,1,1,1
Noon,Walking,77,90,Cold,Weekday,YES,79,77,1,0,0,0,1,0,1,0,1,0,1,0
Night,Running,70,75,Rainy,Holiday,NO,44,68,1,0,1,0,1,0,1,0,1,1,0,0
Morning,Driving,38,61,Cold,Weekday,NO,27,46,1,1,0,0,0,0,0,0,1,0,0,0
Noon,Walking,28,44,Clear,Weekday,YES,26,78,1,0,0,0,1,1,1,0,0,0,1,0
Night,Running,52,73,Cold,Weekday,NO,97,13,1,1,1,0,1,0,1,0,1,0,0,0
Noon,Running,75,174,Rainy,Holiday,YES,79,27,1,1,1,0,1,1,1,0,1,1,1,0
Morning,Swimming,83,198,Clear,Holiday,NO,36,6,1,1,0,1,1,1,0,0,0,0,0,0
Noon,Driving,70,83,Cold,Weekday,YES,55,17,1,1,0,0,0,0,0,0,1,0,1,0
Noon,Swimming,52,73,Cold,Weekday,NO,64,36,1,1,0,1,1,0,0,0,1,0,0,0
Noon,Resting,34,127,Cold,Weekday,YES,91,99,0,0,0,0,0,1,0,1,1,0,1,0
Noon,Swimming,29,34,Rainy,Holiday,YES,57,81,1,0,0,1,1,1,0,0,1,1,1,0
Morning,Swimming,57,138,Rainy,Holiday,NO,69,2,1,1,0,1,1,1,0,0,1,1,0,0
Noon,Walking,92,56,Cold,Holiday,NO,61,77,1,0,0,0,1,1,1,0,1,0,0,0
Noon,Running,96,145,Clear,Weekday,YES,2,52,1,1,1,0,1,1,1,0,0,0,1,1
Night,Driving,33,116,Clear,Holiday,NO,55,66,1,0,0,0,0,1,0,0,0,0,0,0
Noon,Swimming,20,133,Rainy,Weekday,YES,97,52,1,1,0,1,1,1,0,0,1,1,1,0
Night,Driving,64,152,Clear,Weekday,NO,80,92,1,0,0,0,0,1,0,0,0,0,0,0
Morning,Swimming,37,108,Rainy,Weekday,NO,87,43,1,1,0,1,1,1,0,0,1,1,0,0
Morning,Resting,78,72,Cold,Holiday,YES,38,90,0,0,0,0,0,0,0,0,1,0,1,0
Morning,Swimming,72,126,Rainy,Weekday,NO,80,22,1,1,0,1,1,1,0,0,1,1,0,0
Morning,Walking,68,60,Rainy,Holiday,NO,78,55,1,1,0,0,1,0,1,0,1,1,0,0
Night,Running,14,128,Cold,Holiday,YES,29,67,1,0,1,0,1,1,1,0,1,0,1,0
Noon,Resting,60,46,Clear,Weekday,NO,26,99,0,0,0,0,0,1,0,1,0,0,0,0
Morning,Swimming,30,112,Rainy,Weekday,YES,35,60,1,0,0,1,1,1,0,0,1,1,1,0
Noon,Driving,21,139,Rainy,Holiday,YES,79,58,1,1,0,0,0,1,0,0,1,1,1,0
Night,Resting,59,61,Cold,Weekday,YES,67,12,0,1,0,0,0,0,0,1,1,0,1,0
Night,Resting,13,197,Clear,Holiday,YES,87,88,0,0,0,0,0,1,0,1,0,0,1,0
Night,Swimming,51,170,Rainy,Weekday,YES,29,69,1,0,0,1,1,1,0,0,1,1,1,0
Morning,Resting,93,64,Cold,Holiday,NO,34,84,0,0,0,0,0,0,0,0,1,0,0,0
Noon,Driving,47,162,Rainy,Holiday,YES,97,39,1,1,0,0,0,1,0,0,1,1,1,0
Noon,Resting,34,58,Cold,Holiday,YES,41,13,0,1,0,0,0,1,0,1,1,0,1,0
Noon,Driving,23,99,Clear,Holiday,NO,41,41,1,1,0,0,0,0,0,0,0,0,0,0
Night,Swimming,84,182,Clear,Weekday,NO,23,57,1,1,0,1,1,1,0,0,0,0,0,0
Morning,Running,41,124,Clear,Weekday,NO,71,53,1,1,1,0,1,1,1,0,0,0,0,0
Night,Resting,20,51,Clear,Holiday,YES,3,12,0,1,0,0,0,1,0,1,0,0,1,1
Night,Running,70,98,Rainy,Holiday,YES,58,13,1,1,1,0,1,0,1,0,1,1,1,0
Noon,Driving,27,118,Rainy,Weekday,YES,32,74,1,0,0,0,0,1,0,0,1,1,1,0
Night,Resting,36,101,Clear,Weekday,NO,31,97,0,0,0,0,0,1,0,1,0,0,0,0
Noon,Walking,64,158,Clear,Weekday,YES,82,57,1,1,0,0,1,1,1,0,0,0,1,0
Morning,Running,63,116,Clear,Weekday,NO,43,40,1,1,1,0,1,1,1,0,0,0,0,0
Noon,Resting,91,125,Rainy,Weekday,YES,7,80,0,0,0,0,0,1,0,1,1,1,1,1
Morning,Running,96,104,Clear,Weekday,NO,1,45,1,1,1,0,1,1,1,0,0,0,0,1
Noon,Resting,84,196,Clear,Holiday,YES,61,35,0,1,0,0,0,1,0,1,0,0,1,0
Night,Swimming,30,83,Clear,Weekday,YES,14,3,1,1,0,1,1,0,0,0,0,0,1,1
Night,Running,53,117,Cold,Weekday,YES,52,5,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Walking,14,186,Clear,Holiday,NO,96,90,1,0,0,0,1,1,1,0,0,0,0,0
Morning,Walking,96,83,Cold,Weekday,NO,6,11,1,1,0,0,1,0,1,0,1,0,0,1
Morning,Driving,50,45,Cold,Weekday,YES,10,71,1,0,0,0,0,1,0,0,1,0,1,1
Noon,Resting,68,128,Clear,Weekday,YES,71,56,0,1,0,0,0,1,0,1,0,0,1,0
Noon,Running,98,49,Cold,Weekday,YES,90,10,1,1,1,0,1,1,1,0,1,0,1,0
Morning,Driving,63,75,Clear,Weekday,NO,98,34,1,1,0,0,0,0,0,0,0,0,0,0
Night,Running,83,156,Rainy,Holiday,YES,30,67,1,0,1,0,1,1,1,0,1,1,1,0
Noon,Resting,31,87,Rainy,Weekday,YES,100,72,0,0,0,0,0,0,0,1,1,1,1,0
Noon,Walking,92,140,Rainy,Holiday,YES,21,31,1,1,0,0,1,1,1,0,1,1,1,0
Noon,Swimming,74,158,Rainy,Holiday,YES,60,75,1,0,0,1,1,1,0,0,1,1,1,0
Morning,Walking,73,110,Cold,Weekday,NO,81,71,1,0,0,0,1,1,1,0,1,0,0,0
Morning,Driving,80,186,Clear,Holiday,NO,97,66,1,0,0,0,0,1,0,0,0,0,0,0
Morning,Swimming,13,113,Clear,Weekday,YES,74,70,1,0,0,1,1,1,0,0,0,0,1,0
Morning,Driving,74,99,Clear,Holiday,YES,63,41,1,1,0,0,0,0,0,0,0,0,1,0
Morning,Resting,24,37,Rainy,Holiday,NO,42,63,0,0,0,0,0,1,0,0,1,1,0,0
Night,Swimming,85,58,Rainy,Weekday,NO,51,32,1,1,0,1,1,1,0,0,1,1,0,0
Night,Driving,31,141,Clear,Weekday,YES,64,20,1,1,0,0,0,1,0,0,0,0,1,0
Morning,Resting,95,190,Rainy,Weekday,NO,76,57,0,1,0,0,0,1,0,0,1,1,0,0
Noon,Walking,56,160,Clear,Weekday,NO,56,98,1,0,0,0,1,1,1,0,0,0,0,0
Morning,Resting,90,192,Clear,Weekday,YES,80,50,0,1,0,0,0,1,0,0,0,0,1,0
Night,Running,55,137,Clear,Holiday,NO,41,80,1,0,1,0,1,1,1,0,0,0,0,0
Night,Resting,23,138,Clear,Holiday,NO,32,25,0,1,0,0,0,1,0,1,0,0,0,0
Noon,Resting,59,49,Clear,Holiday,YES,15,12,0,1,0,0,0,1,0,1,0,0,1,1
Night,Running,29,102,Clear,Holiday,YES,62,71,1,0,1,0,1,1,1,0,0,0,1,0
Morning,Driving,59,196,Clear,Holiday,NO,27,39,1,1,0,0,0,1,0,0,0,0,0,0
Noon,Driving,42,33,Rainy,Holiday,YES,28,17,1,1,0,0,0,1,0,0,1,1,1,0
Morning,Resting,68,48,Clear,Holiday,NO,81,45,0,1,0,0,0,1,0,0,0,0,0,0
Morning,Running,52,131,Clear,Weekday,YES,64,11,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Running,88,200,Rainy,Weekday,NO,59,70,1,0,1,0,1,1,1,0,1,1,0,0
Morning,Walking,21,170,Rainy,Holiday,YES,58,23,1,1,0,0,1,1,1,0,1,1,1,0
Night,Driving,49,170,Rainy,Holiday,NO,2,91,1,0,0,0,0,1,0,0,1,1,0,1
Morning,Swimming,29,115,Clear,Weekday,NO,36,70,1,0,0,1,1,1,0,0,0,0,0,0
Noon,Driving,47,81,Cold,Weekday,NO,71,38,1,1,0,0,0,0,0,0,1,0,0,0
Noon,Driving,12,140,Cold,Weekday,YES,13,2,1,1,0,0,0,1,0,0,1,0,1,1
Noon,Walking,37,138,Rainy,Weekday,YES,15,86,1,0,0,0,1,1,1,0,1,1,1,1
Morning,Swimming,65,115,Cold,Holiday,NO,89,84,1,0,0,1,1,1,0,0,1,0,0,0
Noon,Walking,99,72,Rainy,Weekday,NO,87,89,1,0,0,0,1,0,1,0,1,1,0,0
Noon,Swimming,22,71,Clear,Holiday,YES,60,79,1,0,0,1,1,0,0,0,0,0,1,0
Morning,Resting,86,119,Cold,Holiday,YES,22,93,0,0,0,0,0,1,0,0,1,0,1,0
Night,Swimming,75,144,Clear,Holiday,YES,63,72,1,0,0,1,1,1,0,0,0,0,1,0
Morning,Walking,46,55,Cold,Weekday,YES,90,37,1,1,0,0,1,1,1,0,1,0,1,0
Noon,Driving,58,180,Clear,Weekday,YES,97,49,1,1,0,0,0,1,0,0,0,0,1,0
Noon,Swimming,75,72,Cold,Holiday,YES,75,52,1,1,0,1,1,0,0,0,1,0,1,0
Morning,Swimming,45,106,Clear,Holiday,NO,74,33,1,1,0,1,1,1,0,0,0,0,0,0
Night,Running,63,185,Clear,Holiday,YES,25,22,1,1,1,0,1,1,1,0,0,0,1,0
Noon,Driving,35,166,Cold,Weekday,NO,48,5,1,1,0,0,0,1,0,0,1,0,0,0
Noon,Resting,84,49,Clear,Holiday,YES,43,18,0,1,0,0,0,1,0,1,0,0,1,0
Noon,Walking,81,68,Clear,Weekday,YES,38,38,1,1,0,0,1,0,1,0,0,0,1,0
Morning,Resting,49,41,Clear,Holiday,NO,41,37,0,1,0,0,0,1,0,0,0,0,0,0
Noon,Driving,52,40,Cold,Holiday,NO,45,94,1,0,0,0,0,1,0,0,1,0,0,0
Night,Swimming,31,183,Cold,Holiday,YES,88,95,1,0,0,1,1,1,0,0,1,0,1,0
Noon,Swimming,29,71,Clear,Weekday,NO,40,64,1,0,0,1,1,0,0,0,0,0,0,0
Noon,Driving,17,184,Clear,Weekday,NO,97,10,1,1,0,0,0,1,0,0,0,0,0,0
Night,Swimming,38,40,Cold,Holiday,NO,17,79,1,0,0,1,1,1,0,0,1,0,0,1
Noon,Swimming,49,67,Cold,Weekday,NO,88,42,1,1,0,1,1,0,0,0,1,0,0,0
Morning,Swimming,99,127,Clear,Holiday,YES,57,48,1,1,0,1,1,1,0,0,0,0,1,0
Morning,Walking,39,200,Clear,Weekday,NO,2,44,1,1,0,0,1,1,1,0,0,0,0,1
Morning,Walking,90,48,Clear,Weekday,YES,96,82,1,0,0,0,1,1,1,0,0,0,1,0
Night,Running,93,163,Rainy,Weekday,YES,62,87,1,0,1,0,1,1,1,0,1,1,1,0
Noon,Resting,64,145,Cold,Holiday,YES,88,97,0,0,0,0,0,1,0,1,1,0,1,0
Morning,Driving,25,142,Rainy,Weekday,YES,9,16,1,1,0,0,0,1,0,0,1,1,1,1
Night,Driving,55,199,Cold,Weekday,NO,68,54,1,1,0,0,0,1,0,0,1,0,0,0
Noon,Driving,71,94,Cold,Holiday,NO,81,35,1,1,0,0,0,0,0,0,1,0,0,0
Night,Running,16,128,Cold,Holiday,YES,17,98,1,0,1,0,1,1,1,0,1,0,1,1
Morning,Walking,89,101,Cold,Holiday,YES,50,28,1,1,0,0,1,1,1,0,1,0,1,0
Morning,Running,54,81,Cold,Holiday,YES,94,2,1,1,1,0,1,0,1,0,1,0,1,0
Morning,Driving,68,147,Cold,Weekday,YES,40,94,1,0,0,0,0,1,0,0,1,0,1,0
Night,Resting,65,149,Cold,Weekday,NO,58,13,0,1,0,0,0,1,0,1,1,0,0,0
Night,Swimming,57,36,Rainy,Weekday,YES,75,41,1,1,0,1,1,1,0,0,1,1,1,0
Morning,Walking,36,40,Clear,Weekday,NO,85,80,1,0,0,0,1,1,1,0,0,0,0,0
Night,Walking,62,132,Clear,Weekday,YES,21,59,1,1,0,0,1,1,1,0,0,0,1,0
Morning,Running,96,90,Rainy,Holiday,YES,18,69,1,0,1,0,1,0,1,0,1,1,1,1
Morning,Walking,97,97,Rainy,Weekday,YES,55,92,1,0,0,0,1,0,1,0,1,1,1,0
Noon,Driving,82,182,Rainy,Weekday,YES,29,53,1,1,0,0,0,1,0,0,1,1,1,0
Night,Driving,44,169,Rainy,Weekday,NO,24,45,1,1,0,0,0,1,0,0,1,1,0,0
Morning,Running,60,183,Cold,Holiday,NO,74,20,1,1,1,0,1,1,1,0,1,0,0,0
Morning,Driving,93,131,Clear,Holiday,NO,17,24,1,1,0,0,0,1,0,0,0,0,0,1
Night,Resting,46,139,Cold,Weekday,YES,18,61,0,0,0,0,0,1,0,1,1,0,1,1
Noon,Running,90,169,Clear,Holiday,YES,42,91,1,0,1,0,1,1,1,0,0,0,1,0
Noon,Resting,66,200,Clear,Holiday,NO,84,94,0,0,0,0,0,1,0,1,0,0,0,0
Morning,Swimming,17,80,Rainy,Holiday,NO,45,58,1,1,0,1,1,0,0,0,1,1,0,0
